Age,Gender,Weight (kg),Height (m),Workout_Type,BMI
27,Male,88.5,1.98,Cardio,22.57
47,Female,43.4,1.62,Cardio,16.54
22,Female,42.8,1.56,Strength,17.59
50,Male,64.5,1.79,Yoga,20.13
18,Female,50.7,1.53,Yoga,21.66
35,Male,59.2,1.66,Strength,21.48
49,Female,78.9,1.73,Cardio,26.36
28,Female,78.7,1.63,Strength,29.62
38,Male,68.7,1.92,Cardio,18.64
43,Female,53.1,1.59,Strength,21
42,Male,64.8,1.65,Cardio,23.8
39,Female,50.3,1.61,HIIT,19.41
44,Male,102.3,1.63,Yoga,38.5
30,Male,62.9,1.92,HIIT,17.06
50,Female,56.5,1.6,Yoga,22.07
51,Female,74.6,1.55,Cardio,31.05
58,Male,52,1.79,HIIT,16.23
52,Female,52.1,1.67,Yoga,18.68
18,Female,72.2,1.54,Strength,30.44
38,Male,85.8,1.8,Cardio,26.48
23,Male,81.4,1.85,Cardio,23.78
45,Female,50.9,1.65,Strength,18.7
34,Male,52,1.78,Strength,16.41
22,Male,71,1.93,Yoga,19.06
48,Male,80.6,1.77,Cardio,25.73
22,Female,58.3,1.72,Yoga,19.71
55,Female,63,1.7,Strength,21.8
20,Male,111,1.94,Cardio,29.49
40,Female,52.6,1.66,Strength,19.09
54,Male,116.4,2,Yoga,29.1
54,Female,75.6,1.61,Yoga,29.17
27,Male,61.6,1.8,Yoga,19.01
27,Male,108,1.8,Cardio,33.33
36,Female,59.3,1.75,Strength,19.36
34,Male,75.7,1.94,Strength,20.11
38,Female,56.3,1.6,Yoga,21.99
31,Female,58.2,1.73,Yoga,19.45
26,Male,55.7,1.68,Yoga,19.73
18,Male,125.9,1.67,Yoga,45.14
30,Female,62.7,1.67,HIIT,22.48
21,Male,86.6,1.86,HIIT,25.03
18,Male,64.5,1.82,HIIT,19.47
57,Male,76.6,1.86,Yoga,22.14
49,Male,81.4,1.83,Yoga,24.31
51,Male,60.7,1.71,Strength,20.76
45,Female,57.2,1.55,Cardio,23.81
48,Female,73,1.59,Strength,28.88
25,Male,123.8,1.99,HIIT,31.26
56,Male,93.6,1.66,Strength,33.97
43,Male,76.8,1.92,Yoga,20.83
51,Female,54.7,1.53,HIIT,23.37
20,Male,92.3,1.94,HIIT,24.52
29,Female,71.8,1.55,Cardio,29.89
18,Female,66.9,1.57,Cardio,27.14
22,Female,48.7,1.76,HIIT,15.72
47,Male,66.2,1.71,HIIT,22.64
47,Female,40,1.76,Strength,12.91
34,Male,112.4,1.85,HIIT,32.84
40,Female,70,1.55,Yoga,29.14
32,Male,84,1.74,Strength,27.74
54,Female,43.8,1.65,Yoga,16.09
38,Male,123.3,1.62,Yoga,46.98
31,Female,57.9,1.56,Yoga,23.79
19,Male,82.4,1.96,HIIT,21.45
28,Male,84.8,1.79,Cardio,26.47
56,Male,109.6,1.66,Cardio,39.77
55,Male,86.4,1.77,Yoga,27.58
51,Female,63.9,1.8,HIIT,19.72
55,Female,70.8,1.62,Strength,26.98
51,Male,115.3,1.67,Yoga,41.34
35,Female,55.3,1.56,Strength,22.72
47,Male,73.9,1.8,Strength,22.81
32,Male,97.3,1.96,HIIT,25.33
44,Female,60.4,1.65,HIIT,22.19
51,Male,49.3,1.61,Cardio,19.02
55,Male,91.8,1.78,Cardio,28.97
50,Female,73.6,1.55,HIIT,30.63
41,Male,47.1,1.78,Yoga,14.87
32,Male,65.2,1.62,Cardio,24.84
47,Male,87.2,1.64,Strength,32.42
59,Male,96.7,1.71,Yoga,33.07
34,Female,46.9,1.61,Strength,18.09
22,Female,72.1,1.62,HIIT,27.47
46,Female,62.5,1.54,Strength,26.35
21,Male,110.7,1.69,Yoga,38.76
27,Male,102.6,1.83,HIIT,30.64
34,Female,64.3,1.62,Yoga,24.5
27,Male,80.7,1.61,Strength,31.13
34,Male,115.3,1.81,Yoga,35.19
37,Male,87.8,1.69,HIIT,30.74
41,Male,74.3,1.61,Strength,28.66
22,Female,78.5,1.7,Strength,27.16
51,Female,77.3,1.58,Cardio,30.96
23,Female,64.5,1.7,Cardio,22.32
19,Male,72,1.94,Yoga,19.13
30,Female,77.9,1.77,Cardio,24.87
28,Female,69.6,1.58,Cardio,27.88
40,Male,68.9,1.99,Cardio,17.4
33,Male,45.9,1.89,Cardio,12.85
48,Female,68.2,1.69,HIIT,23.88
28,Female,79.6,1.59,HIIT,31.49
33,Female,53.6,1.52,Cardio,23.2
25,Female,57.7,1.58,Yoga,23.11
21,Male,74.2,1.93,HIIT,19.92
57,Female,64.4,1.56,Cardio,26.46
21,Female,54.9,1.78,HIIT,17.33
42,Male,50.3,1.64,Strength,18.7
20,Female,46.5,1.68,HIIT,16.48
49,Male,57.8,1.99,HIIT,14.6
20,Male,83,1.8,Yoga,25.62
44,Male,82.5,1.79,HIIT,25.75
46,Female,66.5,1.73,Yoga,22.22
49,Female,70.2,1.67,Strength,25.17
36,Male,121.9,1.93,Cardio,32.73
38,Female,70.3,1.52,Yoga,30.43
22,Female,40.3,1.56,HIIT,16.56
35,Male,101.4,1.76,HIIT,32.74
45,Male,79.2,1.95,Yoga,20.83
59,Female,75.8,1.77,Strength,24.19
39,Male,71.7,1.88,Cardio,20.29
38,Female,57.7,1.56,HIIT,23.71
23,Female,47.4,1.6,Strength,18.52
18,Female,57.2,1.75,Cardio,18.68
22,Female,44.8,1.72,Cardio,15.14
58,Male,90.2,1.72,HIIT,30.49
29,Male,84.9,1.72,Yoga,28.7
43,Male,95.7,1.77,HIIT,30.55
51,Male,59,1.65,HIIT,21.67
31,Female,60.5,1.77,HIIT,19.31
43,Female,53.8,1.72,Strength,18.19
44,Male,86.6,1.97,Yoga,22.31
26,Female,72.8,1.67,Strength,26.1
43,Female,66.3,1.77,HIIT,21.16
39,Female,56,1.6,Yoga,21.87
47,Male,45.9,1.93,Cardio,12.32
34,Male,88,1.64,Yoga,32.72
43,Male,94,1.79,HIIT,29.34
53,Female,44.7,1.79,Yoga,13.95
18,Male,63.2,1.63,Cardio,23.79
25,Male,95.6,1.9,Cardio,26.48
52,Male,47.8,1.86,Yoga,13.82
32,Male,85.3,1.64,Cardio,31.71
39,Male,59.7,1.83,Strength,17.83
31,Male,70.2,1.98,Yoga,17.91
43,Female,72.7,1.8,Cardio,22.44
45,Female,50.4,1.79,Cardio,15.73
40,Male,81.7,1.74,Yoga,26.99
31,Male,49.3,1.62,Strength,18.79
41,Female,61.9,1.64,Yoga,23.01
19,Female,49.1,1.68,Cardio,17.4
43,Male,66.5,1.83,Yoga,19.86
31,Male,75.5,1.93,Cardio,20.27
24,Male,88.2,1.79,HIIT,27.53
20,Male,74.8,1.75,Yoga,24.42
40,Female,72.2,1.6,Yoga,28.2
35,Male,62.8,1.63,Cardio,23.64
55,Male,84.7,1.79,Cardio,26.43
52,Male,116.5,1.69,Cardio,40.79
32,Male,77.4,1.92,Cardio,21
42,Female,72.9,1.62,Yoga,27.78
54,Female,58.4,1.59,Cardio,23.1
45,Female,64.3,1.54,Yoga,27.11
27,Male,89.3,1.87,Strength,25.54
56,Male,90.2,1.61,Yoga,34.8
34,Female,59,1.62,Cardio,22.48
56,Male,58.7,1.86,Cardio,16.97
39,Male,127.5,1.82,Strength,38.49
43,Female,68.6,1.52,Yoga,29.69
42,Female,56.7,1.53,Strength,24.22
34,Female,64.5,1.78,Yoga,20.36
30,Female,61.6,1.52,Cardio,26.66
37,Male,75.1,1.82,Yoga,22.67
42,Male,79.3,1.93,Cardio,21.29
21,Female,72.6,1.68,Cardio,25.72
27,Male,76.7,1.7,HIIT,26.54
20,Female,44.2,1.61,HIIT,17.05
58,Female,56.5,1.7,Yoga,19.55
35,Male,100.9,1.63,Cardio,37.98
53,Female,55.8,1.55,Strength,23.23
39,Male,58.3,1.93,Cardio,15.65
51,Male,48.6,1.77,Strength,15.51
25,Male,81.7,1.95,Yoga,21.49
57,Male,85.6,1.69,Yoga,29.97
36,Female,60,1.72,Strength,20.28
59,Male,126.4,1.69,Strength,44.26
58,Female,75.4,1.78,Cardio,23.8
54,Female,64.2,1.69,Yoga,22.48
23,Female,65.2,1.62,Cardio,24.84
43,Female,70.1,1.66,Strength,25.44
51,Male,102.6,1.77,HIIT,32.75
23,Male,107.2,1.93,HIIT,28.78
54,Female,56.5,1.75,HIIT,18.45
50,Female,61.6,1.75,Strength,20.11
39,Male,81.7,1.75,Cardio,26.68
38,Female,76.6,1.58,Yoga,30.68
23,Male,116.8,1.79,Strength,36.45
23,Female,60.1,1.59,HIIT,23.77
21,Male,93.7,1.73,Cardio,31.31
47,Female,41.6,1.58,Yoga,16.66
28,Female,55.1,1.79,Yoga,17.2
47,Male,127.1,1.76,Strength,41.03
48,Female,69.1,1.6,Strength,26.99
41,Female,66.8,1.74,Yoga,22.06
26,Male,125.5,1.76,Yoga,40.52
20,Female,71.3,1.58,HIIT,28.56
48,Male,129.2,1.61,Yoga,49.84
57,Male,96.3,1.86,Strength,27.84
54,Female,67.5,1.54,Cardio,28.46
53,Female,64.4,1.55,HIIT,26.81
41,Female,64.9,1.57,HIIT,26.33
48,Female,52.3,1.66,Yoga,18.98
23,Female,56.7,1.55,Cardio,23.6
19,Female,46.8,1.63,HIIT,17.61
37,Female,70.3,1.77,Strength,22.44
45,Male,80.8,1.76,Yoga,26.08
28,Female,56,1.5,Strength,24.89
21,Male,101.2,1.84,Yoga,29.89
32,Female,56.6,1.57,HIIT,22.96
23,Female,40.9,1.75,Yoga,13.36
47,Male,127.8,1.65,Cardio,46.94
55,Female,49.3,1.76,Strength,15.92
19,Female,64.3,1.63,Cardio,24.2
32,Male,49.3,1.62,Strength,18.79
28,Female,63,1.62,Strength,24.01
25,Female,41.1,1.67,Yoga,14.74
43,Female,40.5,1.74,HIIT,13.38
22,Male,71,1.62,HIIT,27.05
23,Female,60.9,1.62,Cardio,23.21
43,Female,64.7,1.66,Yoga,23.48
21,Female,51,1.71,HIIT,17.44
36,Female,57.7,1.77,Strength,18.42
37,Male,76.9,1.82,Strength,23.22
50,Male,80.5,1.77,Yoga,25.7
37,Female,73.3,1.74,Cardio,24.21
29,Female,49,1.57,Yoga,19.88
18,Male,114.5,1.97,Cardio,29.5
43,Male,81,1.78,Yoga,25.56
31,Female,53.5,1.76,Strength,17.27
55,Male,52.1,1.68,Yoga,18.46
54,Female,70.1,1.52,HIIT,30.34
28,Male,86.9,1.78,HIIT,27.43
53,Male,73.4,1.76,Yoga,23.7
30,Male,90,1.66,Cardio,32.66
20,Male,85.7,1.92,Cardio,23.25
50,Female,70.4,1.55,Strength,29.3
23,Male,57.7,1.71,Strength,19.73
27,Male,75.7,1.76,Cardio,24.44
22,Female,61.8,1.52,Yoga,26.75
40,Male,80.3,1.76,Strength,25.92
27,Male,104.3,1.68,Cardio,36.95
19,Female,65.7,1.58,Cardio,26.32
30,Male,120.3,1.96,Yoga,31.32
57,Female,51.9,1.57,HIIT,21.06
19,Female,59.1,1.57,Cardio,23.98
37,Female,66.9,1.75,Strength,21.84
18,Female,66.9,1.75,Yoga,21.84
54,Male,78.7,1.66,Yoga,28.56
26,Female,62.4,1.61,Yoga,24.07
34,Male,102.1,1.71,HIIT,34.92
26,Male,51.9,2,HIIT,12.97
28,Male,58.3,2,Strength,14.57
32,Male,89.8,1.92,Strength,24.36
41,Male,101.1,1.83,Yoga,30.19
55,Male,118.6,1.72,Strength,40.09
52,Male,84.8,1.85,Cardio,24.78
47,Male,80,1.77,HIIT,25.54
48,Male,73.1,1.83,Yoga,21.83
22,Male,117.3,1.68,Yoga,41.56
31,Female,77.4,1.71,Cardio,26.47
28,Female,72.9,1.67,Cardio,26.14
26,Female,71.2,1.5,Cardio,31.64
51,Male,88.2,1.62,Cardio,33.61
29,Female,75.6,1.8,Yoga,23.33
52,Female,57.9,1.56,HIIT,23.79
52,Female,70.6,1.58,HIIT,28.28
18,Male,118.6,1.64,Cardio,44.1
57,Male,55.7,1.99,Strength,14.07
39,Male,102.3,1.94,Yoga,27.18
46,Male,72.6,1.87,HIIT,20.76
25,Female,63.8,1.68,Cardio,22.6
28,Female,67.3,1.67,Strength,24.13
58,Female,59.3,1.58,Strength,23.75
54,Female,70.7,1.57,Cardio,28.68
31,Male,86.9,1.69,Yoga,30.43
47,Male,98.2,1.9,HIIT,27.2
52,Male,63.6,1.62,Strength,24.23
38,Female,45.2,1.68,HIIT,16.01
54,Male,117.2,1.62,HIIT,44.66
22,Male,107.4,1.74,Strength,35.47
36,Female,59.1,1.78,Cardio,18.65
31,Female,53.3,1.64,Strength,19.82
43,Male,46.2,1.63,Strength,17.39
21,Male,67,1.61,Yoga,25.85
42,Male,86.3,1.77,HIIT,27.55
59,Male,85.5,1.67,Cardio,30.66
42,Male,70.2,1.87,HIIT,20.07
35,Male,127.1,1.62,Strength,48.43
57,Female,75.6,1.67,Cardio,27.11
25,Female,62.6,1.65,Cardio,22.99
56,Female,55.7,1.53,Cardio,23.79
57,Male,96.1,1.74,Cardio,31.74
31,Female,76.7,1.62,Yoga,29.23
49,Male,57.2,1.89,Cardio,16.01
55,Male,69.9,1.81,Strength,21.34
50,Female,67.9,1.77,Yoga,21.67
40,Male,87.9,1.87,Strength,25.14
32,Male,102.8,1.98,Strength,26.22
50,Female,51.8,1.5,HIIT,23.02
42,Female,57.7,1.57,Cardio,23.41
34,Female,66.5,1.69,Cardio,23.28
50,Male,95.4,1.61,Strength,36.8
19,Female,69.2,1.6,Cardio,27.03
31,Female,66.6,1.67,Yoga,23.88
57,Male,83.4,1.65,HIIT,30.63
57,Female,43.8,1.75,Cardio,14.3
56,Female,64.2,1.69,Cardio,22.48
23,Female,44.1,1.62,Yoga,16.8
23,Male,87.3,1.91,HIIT,23.93
20,Male,55,1.6,Yoga,21.48
24,Male,87.1,1.74,Strength,28.77
25,Male,66.6,1.61,Strength,25.69
59,Female,60.4,1.76,Cardio,19.5
32,Male,126.4,1.83,HIIT,37.74
46,Male,88.7,1.63,Strength,33.38
